Rank,"Name
Country/Region",Overall,Teaching,Research,Citations,Industry Income,International Outlook
1,University of OxfordUnited Kingdom,95,89.6,99.1,99.2,62.5,94.5
2,California Institute of TechnologyUnited States,94.3,95.5,95.7,99.8,90.8,63.4
3,Stanford UniversityUnited States,93.8,92.6,95.9,99.9,60.9,76.5
4,University of CambridgeUnited Kingdom,93.6,90.6,97.2,96.8,50.4,92.4
5,Massachusetts Institute of TechnologyUnited States,93.4,90.3,92.3,99.9,88.4,85.6
6,Harvard UniversityUnited States,92.7,87.5,98.3,99.7,47.3,77.9
7,Princeton UniversityUnited States,90.2,89.5,88.4,99.2,49.9,77.2
8,Imperial College LondonUnited Kingdom,90,86.4,86.6,97.3,67.5,96.5
9,ETH ZurichSwitzerland,89.3,81.5,93.7,92.5,63.7,98.1
10,"University of California, BerkeleyUnited States",88.9,82.4,96.1,99.8,37.6,59.6
10,The University of ChicagoUnited States,88.9,88.1,89.1,99.1,37.7,67.8
12,Yale UniversityUnited States,88.2,88.5,87.8,97.8,44.5,64.3
13,University of PennsylvaniaUnited States,87.1,85.9,88.9,98.6,49.9,50.1
14,"University of California, Los AngelesUnited States",86.6,82.9,89,98.4,47.1,58
15,UCLUnited Kingdom,86.5,77.4,90,94,41.9,94.3
16,Columbia UniversityUnited States,86.1,86.9,78.9,98.6,44.9,75.3
17,Johns Hopkins UniversityUnited States,85.9,77.4,84.3,98.4,100,71.1
18,Duke UniversityUnited States,84.7,80.7,80,98.8,100,58.2
19,Cornell UniversityUnited States,84.6,79.7,86.5,97.2,36,62.2
20,Northwestern UniversityUnited States,83.7,75.8,85,97,85.8,56.1
21,University of Michigan-Ann ArborUnited States,83.6,79.4,86.1,95.8,43.9,54.6
22,University of TorontoCanada,83,74.6,86.3,91.9,48.8,78.3
23,Carnegie Mellon UniversityUnited States,81.8,70.2,84,99.3,51.8,59.6
24,"National University of SingaporeSingapore
Explore",81.7,76.7,86.9,79.7,61.3,96
25,London School of Economics and Political ScienceUnited Kingdom,80.2,70.8,74.7,96.3,34.8,91
25,University of WashingtonUnited States,80.2,70.2,80.4,98.8,49.8,55
27,University of EdinburghUnited Kingdom,79.2,67.5,74.7,96,35,91.5
28,Karolinska InstituteSweden,77.6,62.1,76,95.9,72.1,74.2
29,Peking UniversityChina,77.2,84.6,80.3,71.6,100,50.3
30,"LMU MunichGermany
Explore",76.8,70.5,73.4,87.4,100,65.4
30,École Polytechnique Fédérale de LausanneSwitzerland,76.8,62.9,66.1,96.5,69.8,98.6
32,New York UniversityUnited States,76.7,75.1,68.8,95.3,33.6,54.3
33,Georgia Institute of TechnologyUnited States,76.3,60.8,79.2,90.8,62.3,72.8
33,University of MelbourneAustralia,76.3,65.4,73.6,88.1,63.7,88.3
35,Tsinghua UniversityChina,76.2,78.9,89.6,67.4,99.7,39.4
36,University of British ColumbiaCanada,75.9,61.2,72.5,92.9,41.1,92
36,University of Illinois at Urbana-ChampaignUnited States,75.9,65.6,81.4,89.3,50.3,49.7
36,King’s College LondonUnited Kingdom,75.9,61.5,71,93.5,42.5,93.8
39,The University of TokyoJapan,74.1,83.4,89.2,62.4,53.4,30.6
40,"KU LeuvenBelgium
Explore",73.8,57,73.7,90.1,99.8,67.4
41,"University of California, San DiegoUnited States",73.2,61.2,66.2,98.9,67.3,47.7
42,"McGill UniversityCanada
Explore",73.1,66.4,70.3,81.8,41.9,86.4
43,"Universität HeidelbergGermany
Explore",73,66.7,65,90.8,60,62.7
43,"University of Hong KongHong Kong
Explore",73,66.5,74.5,73.2,52.9,99.4
45,University of Wisconsin-MadisonUnited States,72.6,68.2,71.4,87.9,47.4,42
46,"Technical University of MunichGermany
Explore",71.6,61,70.5,82,100,66.6
47,"Australian National UniversityAustralia
Explore",71.3,54,73.9,81.7,53.5,93.9
48,"University of California, Santa BarbaraUnited States",71.2,52.2,62.6,99.2,87.6,63.3
49,"The Hong Kong University of Science and TechnologyHong Kong
Explore",71.1,53.2,66.7,91.2,62,82.8
50,University of Texas at AustinUnited States,70.8,63.9,65.9,93,51.3,35.7
51,Brown UniversityUnited States,70.4,66.3,54.4,96.7,33.9,58
51,"University of California, DavisUnited States",70.4,61.4,67.3,86.6,50,61.2
53,University of MinnesotaUnited States,70.3,60.3,69.8,87,94.2,38.2
54,"Nanyang Technological University, SingaporeSingapore
Explore",70,50.6,60.2,90.7,93.5,95.7
55,"University of ManchesterUnited Kingdom
Explore",69.7,58.2,66.3,82.3,45.1,87
56,University of North Carolina at Chapel HillUnited States,69.3,61.9,59.6,96.1,41,40
57,Humboldt University of BerlinGermany,69.2,62.5,69,79.9,39.4,64.4
57,Washington University in St LouisUnited States,69.2,60.7,56.2,99.1,36.9,45.5
59,Delft University of TechnologyNetherlands,67.9,56.2,72.9,67.3,99.9,85.9
60,"The University of QueenslandAustralia
Explore",67.2,49.7,60.1,86.1,70.6,88.6
60,University of Southern CaliforniaUnited States,67.2,50.5,60,94.7,39.4,62.7
60,The University of SydneyAustralia,67.2,51.3,63.2,83.2,63.9,83.7
63,University of AmsterdamNetherlands,67.1,49.4,62,90.3,54.6,69.3
64,Boston UniversityUnited States,66.9,60.2,48.5,97.7,34.4,54.6
65,Wageningen University & ResearchNetherlands,66.6,51.8,50.1,92.8,100,75.6
66,École Normale SupérieureFrance,65.8,59.8,52.3,85.8,40,72.2
67,"University of Maryland, College ParkUnited States",65.3,51,63.2,91.1,38.5,36.7
68,Penn State (Main campus)United States,65,55.6,63.3,82.9,51.9,42.7
69,Erasmus University RotterdamNetherlands,64.6,38.8,56.8,95.6,57.7,77.1
70,Purdue University West LafayetteUnited States,64.5,57.2,66.8,69,62.5,67.7
71,"University of BristolUnited Kingdom
Explore",64.4,45.9,51.7,92.7,40.9,83.2
72,Ohio State University (Main campus)United States,64.2,57,53.1,86.2,50.6,54.6
72,Seoul National UniversitySouth Korea,64.2,70.2,69.8,58.8,85.2,32.4
74,Monash UniversityAustralia,64,49.5,57.4,78.5,76,87.1
75,Free University of BerlinGermany,63.7,58.1,67.3,66.9,38.9,67.2
76,"The Chinese University of Hong KongHong Kong
Explore",63.6,52.2,60.4,74.6,44.7,84
77,"Leiden UniversityNetherlands
Explore",63.3,46.1,57.9,86.1,47.3,68.1
78,"UNSW SydneyAustralia
Explore",63,43.2,58.6,81.4,49.7,91
78,RWTH Aachen UniversityGermany,63,53.3,63.7,71.3,99.4,53.4
80,University of GroningenNetherlands,62.2,41.9,55.1,87.1,79.9,66.4
80,University of Pittsburgh-Pittsburgh campusUnited States,62.2,49.2,51.9,94.2,39.6,35.4
82,Dartmouth CollegeUnited States,62,58.6,41.1,94.2,39.9,37.9
82,Emory UniversityUnited States,62,52.9,39.7,97.4,43.2,52.7
82,Technical University of BerlinGermany,62,49.8,59.3,74.3,98,60.8
82,University of WarwickUnited Kingdom,62,46.8,52.6,80.9,40.8,91.4
86,Utrecht UniversityNetherlands,61.9,46.1,48.5,90.7,80.7,57.6
87,Rice UniversityUnited States,61.7,46.9,38.7,99.1,43.4,69.5
88,"University of GlasgowUnited Kingdom
Explore",61.4,40.6,47.8,90.6,39.4,88.6
89,Korea Advanced Institute of Science and Technology (KAIST)South Korea,61.3,55.7,53.2,78.5,100,34.3
89,University of TübingenGermany,61.3,46,56.2,82.9,56.3,57.8
91,University of HelsinkiFinland,61.2,47,57.6,83.5,34.9,52.2
91,Kyoto UniversityJapan,61.2,70.2,70.1,50.4,75.1,28
93,Uppsala UniversitySweden,61.1,43,57.1,85.2,40.4,59.9
94,"Maastricht UniversityNetherlands
Explore",61,39.2,48.6,84.4,85.7,96
95,University of FreiburgGermany,60.9,45.9,49.9,83.6,100,61.1
96,Durham UniversityUnited Kingdom,60.6,43,49,85,37.4,87
96,Lund UniversitySweden,60.6,41.3,53.1,83.2,68.5,74.6
98,Aarhus UniversityDenmark,60.3,39,54.7,83,65.4,75.7
98,University of BaselSwitzerland,60.3,40.1,36.8,92.4,99.3,94.4
98,"University of California, IrvineUnited States",60.3,42.5,45,94.1,45.5,62.3
