Rank,"Name
Country/Region",Overall,Teaching,Research,Citations,Industry Income,International Outlook
1,University of OxfordUnited Kingdom,95.6,91.3,99.6,98,68.7,96.4
2,Stanford UniversityUnited States,94.9,92.2,96.7,99.9,90.1,79.5
3,Harvard UniversityUnited States,94.8,94.4,98.8,99.4,46.8,77.7
4,California Institute of TechnologyUnited States,94.5,92.5,96.9,97,92.7,83.6
5,Massachusetts Institute of TechnologyUnited States,94.4,90.7,94.4,99.7,90.4,90
6,University of CambridgeUnited Kingdom,94,90.3,99.2,95.6,52.1,95.7
7,"University of California, BerkeleyUnited States",92.2,85.8,97.2,99.1,84.3,72.3
8,Yale UniversityUnited States,91.6,91.9,93.8,97.9,56.1,68.4
9,Princeton UniversityUnited States,91.5,88.8,92.5,98.9,58,80.2
10,The University of ChicagoUnited States,90.3,88.9,90.5,98.6,54.9,74
11,Imperial College LondonUnited Kingdom,89.4,82.3,88.2,97.2,69.6,97.4
12,Johns Hopkins UniversityUnited States,89.2,81.6,91.8,97.7,93.4,73.9
13,University of PennsylvaniaUnited States,88.9,85.4,89.9,98.1,77.9,66.3
14,ETH ZurichSwitzerland,87.9,80.4,92.3,90.5,62.8,98
15,"University of California, Los AngelesUnited States",87.1,82.5,90.2,96.5,57.6,65.3
16,UCLUnited Kingdom,86.9,76.6,89.4,96.2,42.1,96.5
17,Columbia UniversityUnited States,86.8,85.1,82.9,97.7,45,79.8
18,University of TorontoCanada,86,75.4,90.9,94.5,50,87.2
19,Cornell UniversityUnited States,85.3,78.8,86.7,97.2,36.3,73.7
20,Duke UniversityUnited States,84.8,80.7,80.4,96.9,99.7,65.5
20,Tsinghua UniversityChina,84.8,87.7,94.9,78.8,100,51.1
22,University of Michigan-Ann ArborUnited States,84,79,86.9,95.4,47.2,59.6
23,Peking UniversityChina,83.9,89.6,91.3,75.4,96.3,61.2
24,Northwestern UniversityUnited States,83.6,74.9,83.6,98.2,69.9,64.5
25,"National University of SingaporeSingapore
Explore",83.5,75.9,90.8,81.5,77.8,94.8
26,New York UniversityUnited States,81.9,76.1,80.6,96,37.3,69.6
27,London School of Economics and Political ScienceUnited Kingdom,81.4,68.5,82.5,94.3,34.1,92.8
28,Carnegie Mellon UniversityUnited States,81,65.1,81.3,98.9,53.3,80.5
29,University of WashingtonUnited States,80.4,69.8,80.5,98.7,45.6,60.9
30,University of EdinburghUnited Kingdom,79.4,67.2,74.7,96,38.7,94.6
31,University of MelbourneAustralia,78.9,67.1,76.3,90.1,74.2,93.9
32,"LMU MunichGermany
Explore",78.2,68.7,78.7,87.9,100,68.1
33,"University of California, San DiegoUnited States",77.7,60.3,80.4,94.3,95.6,64.4
34,University of British ColumbiaCanada,76.4,62.1,75.1,90,44.7,94.7
35,King’s College LondonUnited Kingdom,76.1,57.3,72.4,96.6,43.6,95.4
36,Karolinska InstituteSweden,76,57.6,72.2,95.8,71.4,87.3
36,The University of TokyoJapan,76,87.9,90.7,57.7,82.6,40.1
38,Georgia Institute of TechnologyUnited States,75.8,59.5,76.8,91.1,65.8,78.9
39,"University of Hong KongHong Kong
Explore",75.2,67.5,73.3,80.3,57.4,99
40,"McGill UniversityCanada
Explore",75.1,64.2,73.4,86.4,43.7,91.3
