Rank,"Name
Country/Region",Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
28,Northwestern UniversityUnited States,83.2,72.3,78.8,97.8,99.7,75.9
29,The University of TokyoJapan,83.1,93.9,94.2,67.8,100,49.7
30,University of EdinburghUnited Kingdom,82.5,70.7,77.5,96.9,71.1,97
30,"Technical University of MunichGermany
Explore",82.5,69.8,85.1,90,100,83.1
32,"Nanyang Technological University, SingaporeSingapore
Explore",82.3,66.2,80.9,94.5,99.7,93.3
33,École Polytechnique Fédérale de LausanneSwitzerland,81.4,74.5,73.2,90.3,99.8,95.8
34,"University of California, San DiegoUnited States",81,66,78.4,97.6,100,74.3
35,"University of Hong KongHong Kong
Explore",80.3,65.6,72.3,96.4,95.2,96.8
36,Georgia Institute of TechnologyUnited States,80,63.4,78.9,94.1,94.6,84.8
37,University of MelbourneAustralia,79.2,64.8,76.4,90.1,98.3,92.7
38,King’s College LondonUnited Kingdom,79,59.8,75.1,97.7,74.2,97.5
38,"LMU MunichGermany
Explore",79,65.3,76.8,92.2,100,76.9
40,Paris Sciences et Lettres – PSL Research University ParisFrance,78.5,75.7,72.8,83.2,99.7,81.6
41,University of British ColumbiaCanada,78,62.5,76.6,90.5,76.7,95
42,University of Illinois at Urbana-ChampaignUnited States,77.9,69.5,81.5,85.2,85.3,64
43,Shanghai Jiao Tong UniversityChina,77.7,76.6,82.5,75.4,100,60.6
44,Fudan UniversityChina,77.5,76.5,75.3,83.5,96,56.1
45,"KU LeuvenBelgium
Explore",77,60.1,74.9,91.9,100,79.6
46,London School of Economics and Political ScienceUnited Kingdom,76.8,59.5,73.5,95.4,55.9,94.1
47,"Universität HeidelbergGermany
Explore",76.7,67.7,64.3,94.6,99.3,76.4
48,Delft University of TechnologyNetherlands,76.3,66.7,78.2,76.5,100,92.8
49,"McGill UniversityCanada
Explore",76,62.3,72.3,88.8,76.1,92.5
50,Karolinska InstituteSweden,75.9,58.9,67.9,95.3,96,85.7
51,"University of ManchesterUnited Kingdom
Explore",75.6,61.4,67.1,93.1,73.1,95.6
52,University of Texas at AustinUnited States,75.5,66,75.7,91,81.4,47.3
53,"The Chinese University of Hong KongHong Kong
Explore",75.4,59.1,61.5,97.6,95.9,93.6
54,Monash UniversityAustralia,75.2,55.3,67.8,94.7,99.7,91.1
55,Kyoto UniversityJapan,75,85.4,84.3,60,100,45.7
55,"Zhejiang UniversityChina
Explore",75,70.2,75.3,78.7,99,65.5
57,"University of Science and Technology of ChinaChina
Explore",74.8,74.3,66.3,88.2,95.6,45.4
58,Université Paris-SaclayFrance,74.4,70.9,66.1,82.4,92.4,78.6
59,"University of California, DavisUnited States",74.1,63.7,67.8,87.2,91.5,78.7
60,The University of SydneyAustralia,73.8,52.6,68.9,92,97.7,90.2
61,University of AmsterdamNetherlands,73.6,55,63.1,96.7,77.6,93.2
62,Seoul National UniversitySouth Korea,73.4,74.2,75.3,74.6,100,43.7
63,University of Wisconsin-MadisonUnited States,73.3,68.5,67.5,85.5,79.8,62.8
64,Brown UniversityUnited States,73,69.8,59.6,89.7,69.3,72.1
64,"The Hong Kong University of Science and TechnologyHong Kong
Explore",73,54,62.1,92.9,100,95.5
64,Wageningen University & ResearchNetherlands,73,56.4,59.8,93.8,98.8,92.4
67,"Australian National UniversityAustralia
Explore",72.6,55.9,68,86.6,82,94.8
68,Washington University in St LouisUnited States,72.3,60.8,57.2,97.5,77.8,72.7
69,"University of California, Santa BarbaraUnited States",72.1,47.4,64.7,96.9,99.4,84
70,"The University of QueenslandAustralia
Explore",72,52.9,64.3,89.1,99.8,94
71,Institut Polytechnique de ParisFrance,71.3,71,61.6,70.8,98.8,97.1
72,University of North Carolina at Chapel HillUnited States,71.2,63.4,60.3,93.9,75.8,50.9
73,Nanjing UniversityChina,70.9,64,61.7,85.3,96.8,61.8
74,University of Southern CaliforniaUnited States,70.8,59.2,58.8,92.5,74.4,74.3
75,Sorbonne UniversityFrance,70.5,64.7,60.8,83.7,69.5,78.8
76,Yonsei University (Seoul campus)South Korea,70.4,68.1,64.3,79.3,99.9,51.8
77,"Leiden UniversityNetherlands
Explore",70.2,46,62.7,93,98.1,87.8
78,Boston UniversityUnited States,70.1,59.6,54.1,94.3,76.4,74.1
79,University of GroningenNetherlands,70,47.5,57.2,94.5,99.9,93.4
80,University of ZurichSwitzerland,69.9,54.8,53.4,91.8,93.7,92.4
81,"University of BristolUnited Kingdom
Explore",69.8,48.7,56.5,97.3,72.3,92.5
82,"City University of Hong KongHong Kong
Explore",69.3,52.2,52.4,91.1,100,98.7
83,Korea Advanced Institute of Science and Technology (KAIST)South Korea,69.2,67.1,65.8,77.4,100,41.6
84,"UNSW SydneyAustralia
Explore",68.9,47.2,57.4,91.1,98.6,94.5
85,University of MinnesotaUnited States,68.7,61,58.5,87.2,99.8,48.3
86,Purdue University West LafayetteUnited States,68.5,64,65.3,71.8,84.3,76.7
87,"University of GlasgowUnited Kingdom
Explore",68.2,48.1,51.8,96.8,69.7,96.1
87,"The Hong Kong Polytechnic UniversityHong Kong
Explore",68.2,45.7,54.1,94.5,87.4,96.3
87,Humboldt University of BerlinGermany,68.2,55.3,63.7,82.8,65.4,79
90,RWTH Aachen UniversityGermany,68,54.9,64.8,78.9,100,71.2
91,University of BonnGermany,67.8,51.7,57.7,89.7,82.6,73.8
92,"University of California, IrvineUnited States",67.4,47.1,53.8,93.2,96.1,80.9
92,Vanderbilt UniversityUnited States,67.4,54.1,48.5,96,96.5,62.9
94,Charité - Universitätsmedizin BerlinGermany,67.2,47.5,49.1,97.7,100,75.2
95,"Lomonosov Moscow State University
Russian Federation",67,87.5,75.2,33.9,91.1,73.8
95,University of TübingenGermany,67,49.1,56.5,89,99.8,72
97,"KTH Royal Institute of TechnologySweden
Explore",66.9,53.5,57.8,81,97.7,82.5
97,University of SouthamptonUnited Kingdom,66.9,48.9,50.1,92.7,73.1,96.5
99,Erasmus University RotterdamNetherlands,66.7,38.5,54.1,96.9,94.7,90.6
99,Ohio State University (Main campus)United States,66.7,55.8,52.7,88.4,85,67
